graph,mode,b,agent_id,agent_role,degree,n_replications,p_mean,ci_lower,ci_upper,std,se
star_graph,stateless,3.0,4,Leaf,1.0,40,0.024815000593662262,0.024229999631643295,0.025395125150680542,0.001863001612946391,0.0002945664190739015
star_graph,stateless,5.0,0,Hub,4.0,40,0.024660000577569008,0.023934874683618546,0.025384997949004173,0.0023423065431416035,0.0003703511827321457
star_graph,stateless,5.0,1,Leaf,1.0,40,0.02580999955534935,0.02527487277984619,0.026329999789595604,0.0016875721048563719,0.0002668285783555317
star_graph,stateless,5.0,2,Leaf,1.0,40,0.026405001059174538,0.025665003806352615,0.02715500071644783,0.0023649472277611494,0.0003739309892913111
star_graph,stateless,5.0,3,Leaf,1.0,40,0.025564998388290405,0.024890000000596046,0.026239996775984764,0.002178479917347431,0.00034444791878766195
star_graph,stateless,5.0,4,Leaf,1.0,40,0.025619998574256897,0.02501487545669079,0.026225000619888306,0.0019472031854093075,0.00030787985665142796
wheel_graph,state,1.2,0,Hub,4.0,40,0.024654999375343323,0.023930000141263008,0.025380000472068787,0.00233580288477242,0.0003693228640536339
wheel_graph,state,1.2,1,Rim,3.0,40,0.02516999840736389,0.02463500201702118,0.02566499635577202,0.0016849628882482648,0.00026641602498601386
wheel_graph,state,1.2,2,Rim,3.0,40,0.02556000091135502,0.024869875982403755,0.026259999722242355,0.0022778059355914593,0.00036015274121599025
wheel_graph,state,1.2,3,Rim,3.0,40,0.02496499940752983,0.024319874122738838,0.025599997490644455,0.0021189088001847267,0.00033502889813791725
wheel_graph,state,1.2,4,Rim,3.0,40,0.02480500005185604,0.02423499897122383,0.0253749992698431,0.0018619814654812217,0.00029440511959694235
wheel_graph,state,1.5,0,Hub,4.0,40,0.024654999375343323,0.023945000022649765,0.025380000472068787,0.00233580288477242,0.0003693228640536339
wheel_graph,state,1.5,1,Rim,3.0,40,0.02516999840736389,0.024650001898407936,0.025670001283288002,0.0016849628882482648,0.00026641602498601386
wheel_graph,state,1.5,2,Rim,3.0,40,0.02556000091135502,0.024834999814629555,0.02626500092446804,0.0022778059355914593,0.00036015274121599025
wheel_graph,state,1.5,3,Rim,3.0,40,0.02496499940752983,0.02429499849677086,0.025600001215934753,0.0021189088001847267,0.00033502889813791725
wheel_graph,state,1.5,4,Rim,3.0,40,0.02480500005185604,0.024219999089837074,0.0253749992698431,0.0018619814654812217,0.00029440511959694235
wheel_graph,state,2.0,0,Hub,4.0,40,0.024654999375343323,0.023925000801682472,0.025384997949004173,0.00233580288477242,0.0003693228640536339
wheel_graph,state,2.0,1,Rim,3.0,40,0.02516999840736389,0.024639999493956566,0.025679999962449074,0.0016849628882482648,0.00026641602498601386
wheel_graph,state,2.0,2,Rim,3.0,40,0.02556000091135502,0.02486499957740307,0.02625500038266182,0.0022778059355914593,0.00036015274121599025
wheel_graph,state,2.0,3,Rim,3.0,40,0.02496499940752983,0.024310000240802765,0.02562999725341797,0.0021189088001847267,0.00033502889813791725
wheel_graph,state,2.0,4,Rim,3.0,40,0.02480500005185604,0.024229999631643295,0.025360124185681343,0.0018619814654812217,0.00029440511959694235
wheel_graph,state,3.0,0,Hub,4.0,40,0.024654999375343323,0.023955000564455986,0.025355124846100807,0.00233580288477242,0.0003693228640536339
wheel_graph,state,3.0,1,Rim,3.0,40,0.02516999840736389,0.024639999493956566,0.025690125301480293,0.0016849628882482648,0.00026641602498601386
wheel_graph,state,3.0,2,Rim,3.0,40,0.02556000091135502,0.024849874898791313,0.026285123080015182,0.0022778059355914593,0.00036015274121599025
wheel_graph,state,3.0,3,Rim,3.0,40,0.02496499940752983,0.02430500090122223,0.025630125775933266,0.0021189088001847267,0.00033502889813791725
wheel_graph,state,3.0,4,Rim,3.0,40,0.02480500005185604,0.024229999631643295,0.0253751277923584,0.0018619814654812217,0.00029440511959694235
wheel_graph,state,5.0,0,Hub,4.0,40,0.024654999375343323,0.023930000141263008,0.0254100002348423,0.00233580288477242,0.0003693228640536339
wheel_graph,state,5.0,1,Rim,3.0,40,0.02521499991416931,0.024689998477697372,0.02572999894618988,0.0016990512376651168,0.0002686435886174917
wheel_graph,state,5.0,2,Rim,3.0,40,0.025575000792741776,0.024859998375177383,0.026305001229047775,0.0022852516267448664,0.0003613300083559369
wheel_graph,state,5.0,3,Rim,3.0,40,0.025074999779462814,0.024399874731898308,0.025735000148415565,0.0021617987658828497,0.0003418103971565454
wheel_graph,state,5.0,4,Rim,3.0,40,0.02484000101685524,0.02427000179886818,0.025405000895261765,0.0018499729922041297,0.0002925064132580985
wheel_graph,stateless,1.2,0,Hub,4.0,40,0.024654999375343323,0.023959999904036522,0.025395000353455544,0.00233580288477242,0.0003693228640536339
wheel_graph,stateless,1.2,1,Rim,3.0,40,0.02516999840736389,0.02464500069618225,0.025690125301480293,0.0016849628882482648,0.00026641602498601386
wheel_graph,stateless,1.2,2,Rim,3.0,40,0.02556000091135502,0.02486487291753292,0.026269998401403427,0.0022778059355914593,0.00036015274121599025
wheel_graph,stateless,1.2,3,Rim,3.0,40,0.02496499940752983,0.024299999698996544,0.02562512643635273,0.0021189088001847267,0.00033502889813791725
wheel_graph,stateless,1.2,4,Rim,3.0,40,0.02480500005185604,0.024229874834418297,0.025370001792907715,0.0018619814654812217,0.00029440511959694235
wheel_graph,stateless,1.5,0,Hub,4.0,40,0.024654999375343323,0.023945000022649765,0.025405000895261765,0.00233580288477242,0.0003693228640536339
wheel_graph,stateless,1.5,1,Rim,3.0,40,0.02516999840736389,0.02464500069618225,0.02569512464106083,0.0016849628882482648,0.00026641602498601386
wheel_graph,stateless,1.5,2,Rim,3.0,40,0.02556000091135502,0.024845000356435776,0.02626499906182289,0.0022778059355914593,0.00036015274121599025
wheel_graph,stateless,1.5,3,Rim,3.0,40,0.02496499940752983,0.02430500090122223,0.02561500109732151,0.0021189088001847267,0.00033502889813791725
wheel_graph,stateless,1.5,4,Rim,3.0,40,0.02480500005185604,0.024220000952482224,0.025384997949004173,0.0018619814654812217,0.00029440511959694235
wheel_graph,stateless,2.0,0,Hub,4.0,40,0.024654999375343323,0.023935001343488693,0.0253749992698431,0.00233580288477242,0.0003693228640536339
wheel_graph,stateless,2.0,1,Rim,3.0,40,0.02516999840736389,0.02464500069618225,0.025690000504255295,0.0016849628882482648,0.00026641602498601386
wheel_graph,stateless,2.0,2,Rim,3.0,40,0.02556000091135502,0.024854999035596848,0.026249999180436134,0.0022778059355914593,0.00036015274121599025
wheel_graph,stateless,2.0,3,Rim,3.0,40,0.02496499940752983,0.024320000782608986,0.025654997676610947,0.0021189088001847267,0.00033502889813791725
wheel_graph,stateless,2.0,4,Rim,3.0,40,0.02480500005185604,0.024229999631643295,0.025379996746778488,0.0018619814654812217,0.00029440511959694235
